Team,Status,Sponsor,Notes
A&M-Corpus Christi,Public,,
Abilene Christian,Private,,
Air Force,Public,,
Akron,Public,,
Alabama,Public,,
Alabama A&M,Public,,
Alabama St.,Public,,
Alcorn,Public,,
American,Private,,
App State,Public,,
Arizona,Public,Nike,
Arizona St.,Public,,
Ark.-Pine Bluff,Public,,
Arkansas,Public,,
Arkansas St.,Public,,
Army West Point,Public,,
Auburn,Public,,
Austin Peay,Public,,
BYU,Private,,
Ball St.,Public,,
Baylor,Private,Nike,
Bellarmine,Private,,
Belmont,Private,,
Bethune-Cookman,Private,,
Binghamton,Public,,
Boise St.,Public,,
Boston College,Private,New Balance,
Bowling Green,Public,,
Bradley,Private,,
Brown,Private,,
Bryant,Private,,
Bucknell,Private,,
Buffalo,Public,,
Butler,Private,,
CSU Bakersfield,Public,,
CSUN,Public,,
Cal Poly,Public,,
Cal St. Fullerton,Public,,
California,Public,Nike,
California Baptist,Private,,
Campbell,Private,,
Canisius,Private,,
Central Ark.,Public,,
Central Conn. St.,Public,,
Central Mich.,Public,,
Charleston So.,Private,,
Charlotte,Public,,
Chattanooga,Public,,
Chicago St.,Public,,
Cincinnati,Public,,
Clemson,Public,Nike,
Cleveland St.,Public,,
Coastal Carolina,Public,,
Col. of Charleston,Public,,
Colgate,Private,,
Colorado,Public,,
Colorado St.,Public,,
Columbia,Private,,
Coppin St.,Public,,
Cornell,Private,,
Creighton,Private,,
Dartmouth,Private,,
Davidson,Private,,
Dayton,Private,,
DePaul,Private,,
Delaware,Public,,
Delaware St.,Public,,
Denver,Private,,
Drake,Private,,
Duke,Private,Nike,
Duquesne,Private,,
ETSU,Public,,
East Carolina,Public,,
Eastern Ill.,Public,,
Eastern Ky.,Public,,
Eastern Mich.,Public,,
Eastern Wash.,Public,,
Elon,Private,,
Evansville,Private,,
FGCU,Public,,
FIU,Public,,
Fairfield,Private,,
Fairleigh Dickinson,Private,,
Fla. Atlantic,Public,,
Florida,Public,Nike,
Florida A&M,Public,,
Florida St.,Public,Nike,
Fordham,Private,,
Fresno St.,Public,,
Furman,Private,,
Ga. Southern,Public,,
Gardner-Webb,Private,,
George Mason,Public,,
George Washington,Private,,
Georgetown,Private,,
Georgia,Public,Nike,
Georgia St.,Public,,
Georgia Tech,Public,Adidas,
Gonzaga,Private,,
Grambling,Public,,
Grand Canyon,Private,,
Green Bay,Public,,
Hampton,Private,,
Harvard,Private,,
Hawaii,Public,,
High Point,Private,,
Hofstra,Private,,
Holy Cross,Private,,
Houston,Public,,
Houston Christian,Private,,
Howard,Private,,
IU Indy,Public,,
Idaho,Public,,
Idaho St.,Public,,
Illinois,Public,,
Illinois St.,Public,,
Indiana,Public,,
Indiana St.,Public,,
Iona,Private,,
Iowa,Public,,
Iowa St.,Public,,
Jackson St.,Public,,
Jacksonville,Private,,
Jacksonville St.,Public,,
James Madison,Public,,
Kansas,Public,,
Kansas City,Public,,
Kansas St.,Public,,
Kennesaw St.,Public,,
Kent St.,Public,,
Kentucky,Public,,
LIU,Private,,
LMU (CA),Private,,
LSU,Public,,
Lafayette,Private,,
Lamar University,Public,,
Lehigh,Private,,
Liberty,Private,,
Lindenwood,Private,,
Lipscomb,Private,,
Little Rock,Public,,
Long Beach St.,Public,,
Louisiana,Public,,
Louisiana Tech,Public,,
Louisville,Public,Adidas,
Loyola Chicago,Private,,
Loyola Maryland,Private,,
Manhattan,Private,,
Marist,Private,,
Marquette,Private,,
Marshall,Public,,
Maryland,Public,,
McNeese,Public,,
Memphis,Public,,
Mercer,Private,,
Merrimack,Private,,
Miami (FL),Private,Adidas,
Miami (OH),Public,,
Michigan,Public,,
Michigan St.,Public,,
Middle Tenn.,Public,,
Milwaukee,Public,,
Minnesota,Public,,
Mississippi St.,Public,Adidas,
Mississippi Val.,Public,,
Missouri,Public,,
Missouri St.,Public,,
Montana,Public,,
Montana St.,Public,,
Morehead St.,Public,,
Morgan St.,Public,,
Murray St.,Public,,
N.C. A&T,Public,,
N.C. Central,Public,,
NC State,Public,Adidas,
NIU,Public,,
NJIT,Public,,
Navy,Public,,
Nebraska,Public,,
Nevada,Public,,
New Hampshire,Public,,
New Mexico,Public,,
New Mexico St.,Public,,
New Orleans,Public,,
Niagara,Private,,
Nicholls,Public,,
Norfolk St.,Public,,
North Ala.,Public,,
North Carolina,Public,Nike/Jordan,
North Dakota,Public,,
North Dakota St.,Public,,
North Florida,Public,,
North Texas,Public,,
Northeastern,Private,,
Northern Ariz.,Public,,
Northern Colo.,Public,,
Northern Ky.,Public,,
Northwestern,Private,,
Northwestern St.,Public,,
Notre Dame,Private,,
Oakland,Public,,
Ohio,Public,,
Ohio St.,Public,,
Oklahoma,Public,,
Old Dominion,Public,,
Ole Miss,Public,,
Omaha,Public,,
Oral Roberts,Private,,
Oregon,Public,,
Oregon St.,Public,,
Pacific,Private,,
Penn,Private,,
Penn St.,Public,,
Pepperdine,Private,,
Pittsburgh,Public,Nike,
Portland,Private,,
Portland St.,Public,,
Prairie View,Public,,
Presbyterian,Private,,
Princeton,Private,,
Providence,Private,,
Purdue,Public,,
