OBJECTID,Community Statistical Area (2020),Percent Change,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1,Allendale/Irvington/S. Hilton,-26.49075516,11.28445458,9.927853487,9.989517173,10.66781772,10.3595,8.694579762,8.324597644,6.967996547,7.954615527,7.214651292,8.227677367,8.160237389,8.497437281,8.295117346
2,Beechfield/Ten Hills/West Hills,-26.46575472,7.99086758,7.093933464,7.175472929,8.15394651,7.01239,7.175472929,6.196999348,6.033920417,6.523157208,6.115459883,6.455350492,6.289828685,6.372589589,5.876024166
3,Belair-Edison,-24.15043436,9.875976114,9.875976114,10.85209003,10.45016077,9.41663,10.50757924,8.210840606,6.603123565,7.694074414,8.038585209,8.352668213,8.220086178,7.822340073,7.490884985
4,Brooklyn/Curtis Bay/Hawkins Point,13.54395771,11.30379836,14.60366496,10.74211894,18.18437127,16.9908,16.78017272,14.32282525,12.4271572,13.26967633,12.4271572,13.35410639,12.90896951,12.76059055,12.83478003
5,Canton,-1.687097977,26.41975309,28.39506173,30.61728395,35.55555556,31.1111,29.75308642,29.25925926,27.03703704,28.39506173,25.0617284,27.67326132,26.82364365,26.58089574,25.97402597
6,Cedonia/Frankford,-24.63916586,13.41427177,11.88606359,12.60771745,13.41427177,12.6926,10.82480791,10.40030564,9.25414951,10.35785541,8.532495649,10.24270764,9.797372523,9.930973057,10.1091071
7,Cherry Hill,181.6940666,5.730309681,10.36332602,6.827603024,13.16752012,11.5825,11.58254084,11.2167764,11.33869788,11.58254084,11.09485491,13.07363927,15.60832444,16.14194237,16.14194237
8,Chinquapin Park/Belvedere,-4.724168697,13.66683858,12.7643115,13.79577102,15.47189273,13.6668,22.94997421,12.7643115,11.34605467,11.73285199,21.01598762,11.49743732,11.63596066,12.88267073,13.02119407
9,Orchard Ridge/Armistead,-11.5799345,9.23338598,9.354877901,10.44830519,10.20532135,10.5698,12.02770016,9.476369821,9.354877901,10.20532135,11.54173247,8.274492498,7.833186231,7.833186231,8.164165931
10,Clifton-Berea,-15.09752396,13.36844237,12.7607859,12.15312943,11.95057727,12.3557,16.00162042,9.216123152,7.89953413,10.02633178,11.3429208,12.14200871,10.82222516,11.35013858,11.35013858
11,Cross-Country/Cheswolde,-36.38094672,10.58769372,9.513579868,10.12735921,13.65659046,11.7385,12.96608869,9.360135031,7.902409084,6.981740064,7.979131502,6.357375312,6.357375312,6.508741391,6.735790509
12,Dickeyville/Franklintown,160.593682,4.389173372,4.145330407,3.413801512,8.778346745,3.90149,4.389173372,7.315288954,5.608388198,10.24140454,3.413801512,11.4379085,11.71023965,11.16557734,11.4379085
13,Dorchester/Ashburton,-17.82861117,11.5391142,11.62396063,11.96334634,12.81181062,11.2846,9.927032072,9.248260648,7.975564229,10.09672493,8.993721364,10.15228426,10.15228426,10.53538933,9.481850397
14,Downtown/Seton Hill,-45.27321734,456.2345169,421.345995,337.5736891,396.5249767,336.177,361.929879,319.7331679,303.1337263,314.303444,325.6282966,216.4479255,219.7290432,236.9813717,249.6824725
15,Edmondson Village,6.073727958,5.316455696,5.189873418,6.202531646,5.949367089,4.93671,6.835443038,4.810126582,3.924050633,5.443037975,5.569620253,6.203299027,5.075426477,5.639362752,5.639362752
16,Fells Point,-15.03102087,40.04867795,38.27857064,41.59752185,42.48257551,42.5932,39.60615112,33.07888041,29.7599292,33.41077553,34.07456577,28.67080278,27.44876857,36.28501598,34.02895281
17,Forest Park/Walbrook,-19.34291493,11.57477917,10.96558026,11.16864656,12.08244492,11.5748,11.37171286,9.137983552,8.8333841,9.645649304,9.848715606,9.760237641,9.229789943,10.1845958,9.335879482
18,Glen-Fallstaff,-12.00236927,32.45272898,30.24004291,30.84350275,33.39144428,30.9776,25.47941531,28.22851012,26.14992624,28.83196996,23.66903581,28.76457198,28.14375388,28.76457198,28.55763261
19,Greater Charles Village/Barclay,2.384086286,40.75407236,39.77792691,40.81508145,45.20773595,40.6931,37.15453603,37.21554512,34.95820877,39.41187237,39.47288146,39.89612842,39.95514636,40.60434372,41.72568461
20,Greater Govans,-20.91624445,10.0177886,10.20503698,10.48590956,11.42215148,11.4222,13.95000468,8.519801517,7.583559592,7.489935399,9.736916019,7.818200771,7.609715417,8.235171479,7.922443448
21,Greater Mondawmin,0.818598367,16.30551384,19.84552671,21.77644282,22.42008153,15.8764,17.48551813,19.63098048,16.30551384,19.09461489,12.3364085,21.88006483,20.49085436,20.14355175,16.43899051
22,Greater Roland Park/Poplar Hill,9.699714229,35.92246171,37.2780263,39.71804256,43.10695405,36.8714,40.39582486,35.92246171,31.85576793,32.26243731,34.56689711,33.50267747,34.60112591,39.26953179,39.40683784
23,Greater Rosemont,-19.18073475,12.04631601,11.05976427,11.73477335,12.35785866,11.6828,10.38475518,8.98281323,7.580871281,9.761669869,8.723194351,11.98754884,10.99410557,10.92787602,9.735744089
24,Oliver/Johnson Square,-25.49864351,14.47437929,14.36872689,16.86217009,16.86217009,14.174,12.09677419,11.73020528,8.797653959,10.14173998,9.286412512,11.07117182,11.35873472,11.07117182,10.78360891
25,Hamilton,5.501275515,14.15166897,12.99800031,14.15166897,15.99753884,14.0748,22.38117213,12.99800031,11.99815413,14.45931395,20.91985848,15.09159874,14.52667258,14.93019127,14.93019127
26,Harbor East/Little Italy,21.62461173,48.08581468,48.08581468,50.12021454,61.95672277,55.4836,56.96319586,60.47715924,56.40835953,58.0728685,53.07934159,59.4788144,59.2798886,58.2852596,58.4841854
27,Hamilton Hills,7.344647969,10.98640062,12.82736505,11.04578657,13.59938239,12.6492,9.204822139,10.80824277,10.45192707,11.40210226,7.601401508,11.7325228,11.18541033,11.42857143,11.79331307
28,Highlandtown,-22.3502439,37.37931034,35.5862069,38.48275862,39.44827586,35.8621,35.72413793,33.10344828,29.51724138,33.37931034,32.13793103,26.41723356,26.75736961,27.66439909,29.02494331
29,Howard Park/West Arlington,38.44620686,11.31242527,13.6116987,11.58833809,15.26717557,13.7037,14.3474662,12.14016371,11.31242527,12.87593121,11.95622183,14.06349883,14.80929043,15.12891541,15.66162369
30,Inner Harbor/Federal Hill,-45.45035891,69.93865031,69.44785276,45.81874757,51.10851809,46.1299,44.4185142,43.3294438,39.28432517,42.55153637,38.35083625,37.02724147,35.90320021,36.82888125,38.15128273
31,Greater Lauraville,18.73524918,12.79230832,12.14047095,12.87378799,14.50338141,13.6071,12.62934898,11.32567424,10.42939787,11.89603194,10.91827589,13.33451077,13.9526669,14.21759096,15.18897916
32,Loch Raven,18.86975632,11.16844099,10.84187839,11.03781595,12.67062896,11.1031,10.71125335,9.078440337,9.53562798,10.51531579,10.71125335,11.58110303,12.0754184,12.71096674,13.27589859
33,Madison/East End,-5.322954016,22.36216425,17.4784732,21.59105513,23.39030973,23.7759,21.71957332,17.22143683,14.77959131,16.19329135,15.67921861,19.20236337,18.54587231,20.18709995,21.17183653
34,Hampden/Remington,20.11673154,32.20611916,31.74603175,33.06878307,35.94432942,34.0465,33.24131585,32.20611916,31.91856453,35.08166552,33.52887049,35.41419952,35.86533581,38.45936954,38.68493769
35,Midtown,-25.02148828,53.19573901,48.2689747,50.79893475,56.99067909,51.3981,52.86284953,47.47003995,43.54194407,45.33954727,45.07323569,40.70413474,39.4175098,39.82689046,39.88537341
36,Midway/Coldstream,-10.55309328,16.93682461,16.00166251,15.89775561,19.32668329,16.729,14.65087282,13.50789692,11.74147963,12.57273483,11.32585204,16.77262275,16.36683349,15.55525497,15.14946571
37,Morrell Park/Violetville,9.294520641,30.90138331,30.78982597,29.00490852,28.89335118,27.4431,29.33958054,26.32753235,27.10843373,29.56269523,28.22400714,29.09898329,30.96879748,32.4880215,33.77351876
38,Mount Washington/Coldspring,14.11381474,30.57275542,26.70278638,26.31578947,33.08823529,30.7663,30.76625387,32.12074303,30.57275542,32.50773994,31.92724458,31.43350604,32.46977547,34.88773748,34.88773748
39,North Baltimore/Guilford/Homeland,-9.955791562,17.5790197,16.89189189,17.9225836,21.01465873,18.4952,11.85295465,14.88776913,13.79981677,15.63215758,9.677049931,16.2827641,15.82888914,15.65868603,15.82888914
40,Northwood,-2.605607222,6.429129364,5.648020189,6.008532116,6.849726612,6.48921,6.489214685,5.648020189,5.227422941,4.68665505,4.866911014,5.298286658,5.091859905,5.848757999,6.261611505
41,Oldtown/Middle East,272.365144,41.99084668,43.70709382,36.02434887,43.20926055,35.8248,46.70192596,66.66001397,75.24199182,96.79672687,100.688554,114.5968628,122.5896693,152.3628734,156.3592767
42,Greektown/Bayview,27.53007891,33.95027927,33.29317709,33.62172818,36.2501369,34.7169,39.53564779,38.00240937,38.1119264,45.01149929,45.55908444,38.34115806,39.38445488,44.16623196,43.29681794
43,Patterson Park North & East,-39.93508663,10.92858616,10.17252045,10.65365317,10.44745343,9.62265,8.729122276,8.179256306,6.048525672,6.804591381,6.117258918,6.56424581,6.424581006,6.773743017,6.56424581
44,Penn North/Reservoir Hill,-32.79457111,18.61812164,11.68804303,11.99834506,13.6532892,21.1005,21.92800993,10.03309888,7.860984692,8.378154737,15.61853537,8.671952428,8.176412289,8.671952428,12.5123885
45,Pimlico/Arlington/Hilltop,37.82545915,25.30467163,23.44278944,25.47393365,28.35138795,23.6121,29.02843602,21.83480027,21.91943128,24.28909953,28.01286391,31.78327645,31.78327645,33.48976109,34.87627986
46,Poppleton/The Terraces/Hollins Market,-23.72173512,21.62799843,18.28548958,18.87534408,19.26858042,19.2686,26.34683445,15.53283523,12.97679906,15.33621707,21.03814392,14.17089679,14.17089679,16.70896785,16.49746193
47,Sandtown-Winchester/Harlem Park,-23.23367858,13.35929108,12.62083781,13.56068743,14.7019334,13.0908,9.935553169,9.062835661,7.585929108,7.854457573,6.780343716,10.44535182,9.400816637,9.685689868,10.25543633
48,South Baltimore,61.19471057,13.6801368,13.9501395,26.22541367,30.59631595,28.0987,21.69840774,29.19138308,28.25476116,28.25476116,20.91788948,21.92982456,21.68615984,21.44249513,22.05165692
49,Southeastern,62.79615411,28.75399361,31.94888179,32.58785942,31.78913738,32.7476,32.1086262,32.90734824,34.82428115,40.41533546,38.49840256,37.50738334,41.3467218,44.74305966,46.81039575
50,Southern Park Heights,-1.664050172,11.06594399,10.31315869,10.91538693,12.04456489,11.6682,11.21650105,8.355916893,7.226738934,9.259259259,8.130081301,10.60037523,9.943714822,10.22514071,10.88180113
51,Southwest Baltimore,-8.340775016,18.11573945,18.227565,19.23399497,21.13502935,18.5071,17.72435001,14.20184512,12.46854906,14.31367067,13.36315348,18.42444461,16.90802942,17.21131246,16.60474638
52,The Waverlies,7.512468278,14.70398555,14.57500322,16.38075584,17.15464981,17.6706,23.73274861,13.93009158,13.67212692,14.18805624,17.67057913,13.98992725,14.96922216,15.66871852,15.8086178
53,Upton/Druid Heights,10.20471301,16.99598125,16.66108506,18.75846065,18.95184684,18.275,18.85515374,13.92380584,12.4734094,15.37420228,16.05105395,17.60879318,16.93584567,18.9546882,18.73037236
54,Pigtown/Carroll Park,0.256111334,33.25458841,31.43739778,33.98146466,36.70725059,34.7083,29.80192622,31.25567872,27.80301654,31.25567872,27.43957841,33.91790326,32.95432646,34.88148005,33.33975718
55,Westport/Mount Winans/Lakeland,-35.94286529,20.64896755,20.50849838,20.64896755,18.82286838,19.6657,21.35131339,16.57536171,13.90644753,15.03020087,14.8897317,13.79604608,13.79604608,13.22713696,13.22713696
