field_1,field_2,field_3,field_4,field_5,field_6,field_7,field_8,field_9,field_10,field_11,field_12,field_13,field_14,field_15,field_16,field_17,pct_post_gray
Allendale/Irvington/S. Hilton,"40.57470555589813","46.18610100511809","45.446136770056114","47.296047357711046","55.1273","59.32046618","49.57760375","61.10871308","62.40365049022631","60.86205833","51.92878338278932","44.44294578","44.442945778257354","63.86565956298894","57.40264455","7.662099905",7.662
Beechfield/Ten Hills/West Hills,"33.59425962165688","36.12198303979126","36.61121983039791","36.04044357469015","46.559","37.34507502","39.54664057","44.43900848","45.662100456621005","38.56816699","30.70429529090458","29.62840354","24.662749317222545","43.78051808325747","30.32142567","17.23237417",17.232
Belair-Edison,"50.29857602204869","57.07395498392283","52.652733118971064","57.36104731","56.6146","52.53789619","52.76757005","61.89710611","53.226917776757006","49.89664676","43.950944647000334","37.38813391","40.96784885647995","61.45177328471992","22.17398214","16.9665665",16.967
Brooklyn/Curtis Bay/Hawkins Point,"81.65414589622972","79.05637857193007","62.13578600014042","61.293266867935124","54.9042","61.64431651","80.3903672","98.50452854","85.44548199115356","62.83788528","55.64210994880926","61.57726834","83.98249128","93.10779731434083","14.02702985","51.04035958",51.040
Canton,"60.98765432098766","64.81481481481481","57.901234567901234","56.41975308641975","46.5432","51.2345679","45.55555556","43.95061728","58.641975308641975","52.22222222","35.92669013229761","38.23279524","47.09309382206579","76.34421653113242","25.17978824","49.00919371",49.009
Cedonia/Frankford,"43.72373392197648","48.393258903935134","46.69524981958653","52.17132911661078","52.2987","53.57218661","48.223458","59.26051704","53.10523411","52.55338116","40.21376085504342","36.07214429","39.14495657982632","59.89757292362503","36.99098304","11.80722071",11.807
Cherry Hill,"59.98536942209217","64.74030724213605","59.13191904413558","50.59741526456962","53.5235","57.30309681","65.10607169","66.93489393","67.05681541","49.13435747","40.42155816435432","46.69156884","51.22732124","57.49733191035219","-4.147740584","0.338960913",0.339
Chinquapin Park/Belvedere,"43.57916451779268","33.39350180505416","44.48169159360496","42.805569881382155","47.705","52.47550284","40.61371841","42.41877256","35.456420835482206","31.84631253","26.87352818949993","19.67031445","26.31943482476797","45.851225931569466","5.213641516","-12.62356061",-12.624
Orchard Ridge/Armistead,"52.60600170088689","63.17579880937918","48.96124407726886","50.05467136435427","46.2884","48.11080063","55.88628356","62.93281497","52.97047746324869","64.02624225","48.10238305383936","44.68225949","52.84642541924095","71.05030891438659","35.06122233","47.68057896",47.681
Clifton-Berea,"57.92991695361556","60.968199311322664","56.41077577","57.11970832489366","54.9929","66.53838363","67.95624873","67.75369658","66.53838363","65.32307069","70.34446351","70.87237693","70.87237693018345","70.87237693018345","22.34158213","6.513523569",6.514
Cross-Country/Cheswolde,"15.421206076415528","15.26776123983428","14.653981893509284","17.49271137026239","14.5773","23.70722725","21.48227712","20.02455117","14.116924965474912","14.73070431","13.395897979262847","10.14152728","12.260652387799894","23.46174222","52.13947669","-1.035486046",-1.035
Dickeyville/Franklintown,"49.50012192148257","42.18483296756889","38.03950256035114","38.03950256035113","29.2612","31.94342843","32.67495733","32.91880029","26.335040234089245","34.86954401","26.96078431372549","31.59041394","29.139433551198255","45.47930283224401","-8.12284684","42.37451979",42.375
Dorchester/Ashburton,"52.35024605464109","50.65331749533345","48.701849652129646","55.06533174953335","56.4229","50.31393178","50.48362464","57.18649245","47.68369251654506","47.51399966","43.76975385499473","45.78105545","52.38961785","52.964275452542864","1.172925524","5.267613917",5.268
Downtown/Seton Hill,"424.44260941370777","313.68290412659013","331.3682904","291.9640086875582","243.252","268.2283587","299.1002172","270.8656531","296.46292274278625","312.7520943","134.6316680779001","142.5698561","172.73497036409822","207.7688399661304","-51.04901455","-22.54031566",-22.540
Edmondson Village,"28.481012658227844","40.50632911392405","43.79746835443038","36.835443037974684","38.8608","42.15189873","32.53164557","51.51898734","40.88607594936708","44.17721519","32.84928803045256","28.61976597","32.42633582405188","53.57394614408572","88.10407757","27.09734972",27.097
Fells Point,"62.28565106759598","87.84157539550836","91.0498949","78.21661688","71.0256","80.20798761","59.6304901","65.27270716","73.45945348","75.22956079","40.32712915961647","48.69336341","64.86181613085166","81.21827411167511","30.396444","1.259583405",1.260
Forest Park/Walbrook,"48.735912275357904","45.28378515585339","46.80678241445832","51.37577419027312","49.9543","51.68037364","51.17270789","52.08650624","51.07117473855214","53.0003046","42.22363674941651","36.28262253","38.086144706131975","56.33354551241248","15.5893937","9.003750447",9.004
Glen-Fallstaff,"53.573823253319034","51.562290465334584","54.98189620490814","58.267399758616065","51.8305","55.0489473","52.29985249","67.72160386","57.328684457556655","56.79227571","45.38870111","44.28502449","51.25198317","60.150375939849624","12.27568295","9.267077556",9.267
Greater Charles Village/Barclay,"74.30907205","67.29302666097249","69.24531755231529","70.09944481727779","68.8183","71.13659935","72.05173571","67.17100848","72.35678116","64.12055396","43.08309726156752","50.28328612","54.41454202077431","61.55571293673277","-17.16258697","-13.4682941",-13.468
Greater Govans,"42.224510813594236","38.19867053646662","44.37786724089505","39.97753019380208","39.8839","48.96545267","38.01142215","51.58693006","41.47551727366351","34.64095122","34.50432607109351","32.00250182","38.048577087459606","54.31043469196289","28.62300509","10.91582275",10.916
