OBJECTID,Community Statistical Area (2010),2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Community Statistical Area (2020),2020,2021,2022,2023
1,Allendale/Irvington/S. Hilton,33.82899628,29.11392405,34.7826087,39.85765125,40.6593,30,26.7281106,29.12087912,22.330097,15.8730158730158,Allendale/Irvington/S. Hilton,17.412935323383,15.0,13.7931034482758,13.26530612
2,Beechfield/Ten Hills/West Hills,32.46753247,30.14705882,29.78723404,36.20689655,42.0,28,21.6,25.19685039,21.705426,17.094017094017,Beechfield/Ten Hills/West Hills,21.4285714285714,22.5,19.8347107438016,19.13043478
3,Belair-Edison,31.55555556,31.25,38.64541833,39.92248062,43.038,23,20.21857923,22.51655629,20.238095,21.590909090909,Belair-Edison,18.0124223602484,21.60493827,20.6666666666666,17.24137931
4,Brooklyn/Curtis Bay/Hawkins Point,21.88449848,30.6763285,23.02839117,41.85606061,39.8678,31,24.5,27.696793,22.067039,17.1014492753623,Brooklyn/Curtis Bay/Hawkins Point,17.0028818443804,15.07246377,17.1091445427728,15.52238806
5,Canton,33.43949045,34.16149068,39.01098901,42.25,38.2682,32,27.61627907,32.59493671,24.316109,17.2413793103448,Canton,19.1222570532915,17.04918033,18.3946488294314,18.90034364
6,Cedonia/Frankford,36.15023474,33.50923483,35.62653563,39.46784922,41.2442,30,25.37313433,31.0,21.257485,20.5574912891986,Cedonia/Frankford,20.4334365325077,19.35483871,19.093851132686,17.43421053
7,Cherry Hill,14.77272727,26.8115942,21.0,36.64596273,36.8056,34,23.88059701,34.55882353,25.373134,21.4285714285714,Cherry Hill,23.5294117647058,25.0,23.0263157894736,23.48993289
8,Chinquapin Park/Belvedere,32.14285714,28.90625,35.17241379,37.79069767,38.9262,31,31.38686131,32.28346457,25.984252,26.3157894736842,Chinquapin Park/Belvedere,27.1929824561403,22.32142857,25.2100840336134,24.57627119
9,Claremont/Armistead,27.68361582,26.48648649,28.42105263,36.91588785,32.2115,24,16.26506024,17.08860759,19.387755,13.7440758293838,Orchard Ridge/Armistead,15.0,19.52662722,17.5438596491228,16.0
10,Clifton-Berea,34.06593407,28.99408284,26.2195122,30.86419753,32.1637,30,26.5625,31.13207547,29.104478,20.6451612903225,Clifton-Berea,22.65625,19.65811966,19.3798449612403,17.74193548
11,Cross-Country/Cheswolde,40.66985646,38.86010363,38.16425121,45.72490706,51.8367,31,26.66666667,31.81818182,26.380368,20.3208556149732,Cross-Country/Cheswolde,16.3398692810457,16.12903226,17.391304347826,16.875
12,Dickeyville/Franklintown,37.5,35.8974359,28.125,34.54545455,45.0,43,40.90909091,36.11111111,18.333333,15.1515151515151,Dickeyville/Franklintown,38.9830508474576,32.20338983,30.0,31.03448276
13,Dorchester/Ashburton,37.57225434,32.76836158,39.67391304,45.02369668,46.5347,35,26.14379085,34.05797101,17.791411,17.3333333333333,Dorchester/Ashburton,17.9487179487179,16.56050955,16.6666666666666,17.85714286
14,Downtown/Seton Hill,35.94639866,31.13553114,31.50872391,38.65195347,39.4809,36,31.57894737,36.76975945,30.492424,27.9095220722364,Downtown/Seton Hill,28.0285929270127,26.77048572,24.6493688639551,22.64796442
15,Edmondson Village,27.27272727,32.75862069,36.92307692,36.92307692,33.3333,29,37.03703704,42.55319149,32.142857,31.0344827586206,Edmondson Village,31.0344827586206,28.84615385,27.5862068965517,26.66666667
16,Fells Point,34.62321792,30.51948052,31.71206226,39.58333333,42.959,34,28.13953488,33.75634518,27.505828,20.8333333333333,Fells Point,21.4611872146118,18.33740831,16.40625,16.83991684
17,Forest Park/Walbrook,39.7260274,42.95774648,41.54929577,47.2392638,47.7419,29,27.90697674,29.05982906,31.538462,22.65625,Forest Park/Walbrook,23.5772357723577,23.00884956,19.3548387096774,16.66666667
18,Glen-Fallstaff,33.75527426,32.58928571,31.39204545,34.73684211,33.6579,26,22.77526395,26.98675497,23.05296,22.4334600760456,Glen-Fallstaff,22.2929936305732,20.71197411,19.9029126213592,20.46589018
19,Greater Charles Village/Barclay,40.04524887,36.4608076,36.71875,39.89949749,39.6018,35,31.48584906,34.95518566,25.328554,26.3480392156862,Greater Charles Village/Barclay,26.0162601626016,27.02078522,25.7954545454545,24.85746864
20,Greater Govans,38.25503356,36.60130719,37.82051282,46.23655914,45.977,36,30.53435115,30.76923077,26.724138,22.1476510067114,Greater Govans,24.3478260869565,23.00884956,21.4876033057851,18.26086957
21,Greater Mondawmin,31.11111111,32.0610687,36.29893238,43.2885906,39.819,31,23.62204724,28.76712329,23.320158,17.8160919540229,Greater Mondawmin,16.030534351145,15.81027668,15.2610441767068,14.97584541
22,Greater Roland Park/Poplar Hill,30.85714286,23.59550562,28.10126582,31.76470588,33.8667,28,25.84269663,29.58199357,24.451411,22.8915662650602,Greater Roland Park/Poplar Hill,24.5341614906832,21.60493827,20.9239130434782,19.33701657
23,Greater Rosemont,37.29903537,35.21126761,38.29113924,41.64133739,43.125,35,26.63934426,26.13065327,15.686275,18.4210526315789,Greater Rosemont,15.6,15.06276151,15.450643776824,14.42307692
24,Greenmount East,30.8988764,29.09090909,33.51648352,29.71428571,26.8456,19,19.51219512,21.78217822,20.0,13.2075471698113,Oliver/Johnson Square,14.8148148148148,14.01869159,15.0943396226415,12.5
25,Hamilton,34.60076046,27.80082988,29.05660377,35.47297297,35.0,29,24.35897436,30.23255814,21.653543,17.6470588235294,Hamilton,16.3346613545816,16.94214876,17.3387096774193,17.26907631
26,Harbor East/Little Italy,39.46078431,33.67609254,32.93556086,40.93567251,40.8297,35,31.39784946,34.28571429,23.041475,23.1920199501246,Harbor East/Little Italy,20.8133971291866,22.32779097,21.2195121951219,20.63882064
