OBJECTID,Community Statistical Area (2010),2016,2017,2018,2019,Community Statistical Area (2020),2020,2021,2022,2023
1,Allendale/Irvington/S. Hilton,995161.2903,339010.989,465641,1751099,Allendale/Irvington/S. Hilton,874485,2212432.432432432,539890.7103825137,1333149.1712707183
2,Beechfield/Ten Hills/West Hills,300400.0,331889.7638,415546,480660,Beechfield/Ten Hills/West Hills,750000,735576.923076923,502336.44859813084,500485.4368932039
3,Belair-Edison,572131.1475,500662.2517,891509,659938,Belair-Edison,931410,1182993.1972789117,1388112.2222222222,1458646.6165413535
4,Brooklyn/Curtis Bay/Hawkins Point,2007750.0,2160521.72,17094610,2467594,Brooklyn/Curtis Bay/Hawkins Point,1639853,105880132.96116507,3728126.158940397,31954620.462046202
5,Canton,1309560.61,2454866.456,20209194,2349852,Canton,1407819,1641080.3440068795,2658392.057761733,1892335.7664233577
6,Cedonia/Frankford,223582.0896,440166.6667,486306,503731,Cedonia/Frankford,686435,701360.544217687,733676.9759450172,767368.4210526316
7,Cherry Hill,225000.0,447058.8235,893033,843694,Cherry Hill,529771,646715.3284671532,312230.2158273381,180357.14285714287
8,Chinquapin Park/Belvedere,1203649.635,1154392.52,843802,869849,Chinquapin Park/Belvedere,825446,1466190.4761904762,2031473.214285714,5143055.555555555
9,Claremont/Armistead,2143072.289,2111708.861,2580000,2050262,Orchard Ridge/Armistead,2263601,5987527.09375,1421666.6666666665,739335.4700854701
10,Clifton-Berea,303125.0,365094.3396,475391,874150,Clifton-Berea,822800,2532407.407407407,2823666.666666667,3698322.1476510065
11,Cross-Country/Cheswolde,1312820.513,1723295.455,2691503,1749432,Cross-Country/Cheswolde,2639073,3293448.275862069,272641.50943396223,1458018.8679245282
12,Dickeyville/Franklintown,646590.9091,491666.6667,92453,2288000,Dickeyville/Franklintown,338596,369811.320754717,1650344.8275862068,565530.303030303
13,Dorchester/Ashburton,393137.2549,353985.5072,232566,526408,Dorchester/Ashburton,638816,1035172.4137931034,771583.4186687672,919613.2345770226
14,Downtown/Seton Hill,898871.6474,858518.5185,1406543,1089091,Downtown/Seton Hill,1066990,3568567.1173831383,1526363.6363636365,539090.9090909091
15,Edmondson Village,1091666.667,232978.7234,589815,241818,Edmondson Village,554386,671428.5714285715,1575813.9186295501,14630442.477876104
16,Fells Point,1808488.372,1714340.102,3787813,1784823,Fells Point,1725168,6512962.962962963,530991.7355371901,588288.2882882883
17,Forest Park/Walbrook,570930.2326,173076.9231,400403,201613,Forest Park/Walbrook,620732,1211009.1743119266,780195.3818827708,586420.8633093525
18,Glen-Fallstaff,705882.3529,1015894.04,790185,1146743,Glen-Fallstaff,646634,1633635.7731729054,812238.6223862239,790129.963898917
19,Greater Charles Village/Barclay,488837.0873,498719.5903,903061,552702,Greater Charles Village/Barclay,827969,1142065.3035574402,413636.3636363636,474285.7142857143
20,Greater Govans,97709.92366,168376.0684,250943,144737,Greater Govans,884956,729611.6504854369,1364393.9393939395,1106157.6354679803
21,Greater Mondawmin,345866.1417,866210.0457,1030519,859748,Greater Mondawmin,1704016,1253695.652173913,1623660.7142857143,586510.2639296188
22,Greater Roland Park/Poplar Hill,776685.1124,671382.6367,1696724,1483721,Greater Roland Park/Poplar Hill,1328176,2167532.423208191,1146354.1666666665,1854232.804232804
23,Greater Rosemont,586885.2459,725376.8844,518388,670093,Greater Rosemont,740574,664189.1891891891,810849.0566037736,863049.8533724339
24,Greenmount East,141463.4146,585643.5644,346759,480303,Oliver/Johnston Square,688785,1177081.4393939395,1221061.4349775785,788414.6341463415
25,Hamilton,905128.2051,413953.4884,380328,409524,Hamilton,635223,875000.0,811181.4345991561,490909.0909090909
26,Harbor East/Little Italy,4491720.43,14092500.0,5960000,4530878,Harbor East/Little Italy,4331449,19968061.61418919,998178.2,553307.392996109
27,Harford/Echodale,563786.7647,854258.9494,479681,837706,Hamilton Hills,825373,1130040.322580645,7039246.983758701,2135715.0282485876
28,Highlandtown,3130144.928,3260161.29,1193393,4249524,Highlandtown,2924233,31732709.546925563,1457313.4453781513,1089645.7765667576
29,Howard Park/West Arlington,1592537.313,659625.6684,347074,1126160,Howard Park/West Arlington,534831,1917251.461988304,1157003.2573289901,1877538.4615384617
30,Inner Harbor/Federal Hill,7544585.75,4273664.008,1914962,2902086,Inner Harbor/Federal Hill,39265227,8210665.940014903,1124431.8181818181,679608.938547486
31,Lauraville,664179.1045,763736.2637,928415,994444,Greater Lauraville,1102020,1512371.1340206186,1916136.278735632,2906806.3453678475
32,Loch Raven,425141.2429,247206.7039,264865,527247,Loch Raven,453158,1363342.1052631577,897750.0,469859.8130841122
33,Madison/East End,181707.3171,139436.6197,579310,868705,Madison/East End,715580,727862.5954198474,643884.8920863309,313175.6756756757
34,Medfield/Hampden/Woodberry/Remington,2128973.814,1616495.096,1863532,2071578,Hampden/Remington,3762794,2658181.127892813,1767132.8671328672,1232258.5895522386
