OBJECTID,Community Statistical Area (2010),2010,2011,2012,2013,2014,2015,2016,2017,2018,Community Statistical Area (2020),2019,2020,2021,2022
1,Allendale/Irvington/S. Hilton,1887,2250,2338,2448,2394,2253,2191,2247,2070,Allendale/Irvington/S. Hilton,2129,2036,1979,1958
2,Beechfield/Ten Hills/West Hills,870,1004,1045,1041,1142,1018,1109,1180,1072,Beechfield/Ten Hills/West Hills,1341,1271,1174,1139
3,Belair-Edison,988,3245,3245,2948,2745,2738,1435,1408,1422,Belair-Edison,1461,1342,1308,1416
4,Brooklyn/Curtis Bay/Hawkins Point,8424,8676,8606,8617,7797,8344,7377,7392,7229,Brooklyn/Curtis Bay/Hawkins Point,8944,8512,7900,7343
5,Canton,2747,2786,3122,3330,3451,3365,2980,2869,3139,Canton,3322,2787,2777,2409
6,Cedonia/Frankford,2269,2518,2371,2035,1930,1932,1857,1830,1795,Cedonia/Frankford,1934,1927,2018,1854
7,Cherry Hill,2288,2408,2493,2464,2450,2379,2285,2210,2269,Cherry Hill,2484,2364,2547,1794
8,Chinquapin Park/Belvedere,917,908,984,943,973,837,788,824,759,Chinquapin Park/Belvedere,729,471,491,517
9,Claremont/Armistead,4186,2216,2288,2413,2404,2505,2429,2331,2460,Orchard Ridge/Armistead,2351,1963,1756,1762
10,Clifton-Berea,1337,1351,1518,1782,1786,1815,1707,1525,1262,Clifton-Berea,1266,1193,1078,1067
11,Cross-Country/Cheswolde,486,548,644,683,659,703,793,823,848,Cross-Country/Cheswolde,869,905,846,4922
12,Dickeyville/Franklintown,169,253,307,269,235,212,218,227,232,Dickeyville/Franklintown,220,218,244,295
13,Dorchester/Ashburton,812,1015,1044,1090,1095,1161,1017,998,929,Dorchester/Ashburton,1053,1167,3839,1201
14,Downtown/Seton Hill,83582,80640,81294,80238,78077,78158,70028,70376,76808,Downtown/Seton Hill,77938,77294,70713,73814
15,Edmondson Village,161,219,238,230,229,176,172,175,177,Edmondson Village,156,155,140,154
16,Fells Point,6155,6267,6258,7187,7141,7771,6329,6757,6898,Fells Point,8529,7750,8187,9239
17,Forest Park/Walbrook,391,295,388,435,432,448,400,397,451,Forest Park/Walbrook,486,457,502,365
18,Glen-Fallstaff,5959,6718,7618,7083,6937,7641,6967,7012,7048,Glen-Fallstaff,7406,6645,6660,5350
19,Greater Charles Village/Barclay,8853,11621,13408,13521,12220,12482,11646,11709,12537,Greater Charles Village/Barclay,13695,13035,12266,3278
20,Greater Govans,520,563,582,627,642,643,654,722,618,Greater Govans,648,638,714,637
21,Greater Mondawmin,3575,4342,4911,4484,4692,4475,3888,2867,3934,Greater Mondawmin,4476,4138,3979,3989
22,Greater Roland Park/Poplar Hill,6584,4482,4302,4357,3923,3809,3322,3291,3276,Greater Roland Park/Poplar Hill,3344,3117,3055,3278
23,Greater Rosemont,1570,1950,1712,1625,1565,1566,1391,1305,1434,Greater Rosemont,1434,1423,1371,1440
24,Greenmount East,691,875,689,693,621,676,586,582,678,Oliver/Johnson Square,691,690,548,569
25,Hamilton,1868,1914,1673,1651,1455,1422,1319,1326,1328,Hamilton,1531,1381,1158,1131
26,Harbor East/Little Italy,6798,8856,7676,7360,8097,8235,9253,9262,8609,Harbor East/Little Italy,9557,8600,8613,6862
27,Harford/Echodale,2146,2464,2621,2740,2353,2148,2024,1984,1994,Hamilton Hills,2252,2410,2270,2230
28,Highlandtown,3351,3276,3497,3500,3315,3343,3076,2978,2828,Highlandtown,3049,2760,3054,2726
29,Howard Park/West Arlington,4099,3420,4046,3922,14374,14267,3665,3704,5450,Howard Park/West Arlington,5944,6164,5485,5166
30,Inner Harbor/Federal Hill,10382,11205,12854,13180,14078,14659,10772,11797,11417,Inner Harbor/Federal Hill,12964,10434,9707,11465
31,Lauraville,1299,1279,1389,1472,1570,1497,1280,1560,1559,Greater Lauraville,1673,1565,1681,1499
32,Loch Raven,3709,3653,3720,3609,3328,3343,2779,2728,2763,Loch Raven,2967,2900,2993,3212
33,Madison/East End,452,548,460,462,474,429,420,326,389,Madison/East End,402,332,390,391
34,Medfield/Hampden/Woodberry/Remington,13182,13266,13034,13609,14004,14533,13619,12720,13326,Hampden/Remington,14437,13477,12671,11255
35,Midtown,13977,13313,13927,13705,12496,12836,12296,11446,11676,Midtown,13073,10977,10110,12646
36,Midway/Coldstream,1691,981,1278,1327,1243,1179,1165,1100,1160,Midway/Coldstream,1092,947,959,1033
37,Morrell Park/Violetville,11167,11061,8687,8824,10650,11153,10249,10042,10185,Morrell Park/Violetville,10525,10539,10810,10253
38,Mount Washington/Coldspring,2229,2480,2596,2651,3544,3651,3308,3288,3285,Mount Washington/Coldspring,3981,3999,3757,3736
39,North Baltimore/Guilford/Homeland,4866,4910,4534,4391,4931,4853,4264,4184,3933,North Baltimore/Guilford/Homeland,4435,4183,4299,4594
40,Northwood,3369,3567,3675,3576,3584,3449,3100,3085,3088,Northwood,3708,3397,2800,2919
41,Oldtown/Middle East,23647,25665,27881,28480,27526,27354,25807,25879,28500,Oldtown/Middle East,30381,30384,27620,27143
