Season,Direct Spending,Indirect Spending,Total jobs,Total earnings,Personal income tax revenue,Sales and use tax revenue,Corporate income tax revenue,Economic impact generated per dollar of direct spending,Total output,Attendance
2014,191427000,150668000,2590,172935000,10017000,6885000,958000,$1.81 ,342100000,"2,464,473"
2015,175687000,144908000,2290,163511000,10613000,5931000,898000,$1.81 ,320600000,"2,320,590"
2016,181632000,151222000,2280,173071000,12231000,5609000,899000,$1.83 ,332900000,"2,172,344"
2017,173452000,143905000,2120,161183000,13362000,5226000,952000,$1.83 ,317400000,"2,028,424"
2018,163700000,136400000,1920,159000000,9940000,4250000,900000,$1.83 ,300100000,"1,564,192"
2019,161900000,148900000,1800,161000000,7000000,3700000,900000,$1.92 ,310800000,"1,307,807"
2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,125400000,128300000,2900,126500000,5500000,2600000,900000,$2 ,253700000,"793,229"
2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1,368,367"
2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1,936,798"
2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2,281,129"
2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1,803,655"
