periodicity,seasonadj,geo_level,geography,ind_level,industry,ownercode,sex,agegrp,race,ethnicity,education,firmage,firmsize,year,quarter,agg_level,Emp,sEmp
Q,U,S,24,A,00,A05,0,A00,A0,A0,E0,0,0,2015,1,,2070683,1
Q,U,S,24,A,00,A05,0,A00,A0,A0,E0,0,0,2015,2,,2062266,1
Q,U,S,24,A,00,A05,0,A00,A0,A0,E0,0,0,2015,3,,2125694,1
Q,U,S,24,A,00,A05,0,A00,A0,A0,E0,0,0,2015,4,,2122704,1
Q,U,S,24,A,00,A05,0,A00,A0,A0,E0,0,0,2016,1,,2108543,1
Q,U,S,24,A,00,A05,0,A00,A0,A0,E0,0,0,2016,2,,2112932,1
Q,U,S,24,A,00,A05,0,A00,A0,A0,E0,0,0,2016,3,,2181657,1
Q,U,S,24,A,00,A05,0,A00,A0,A0,E0,0,0,2016,4,,2157948,1
Q,U,S,24,A,00,A05,0,A00,A0,A0,E0,0,0,2017,1,,2140922,1
Q,U,S,24,A,00,A05,0,A00,A0,A0,E0,0,0,2017,2,,2137942,1
Q,U,S,24,A,00,A05,0,A00,A0,A0,E0,0,0,2017,3,,2198510,1
Q,U,S,24,A,00,A05,0,A00,A0,A0,E0,0,0,2017,4,,2175949,1
Q,U,S,24,A,00,A05,0,A00,A0,A0,E0,0,0,2018,1,,2161879,1
Q,U,S,24,A,00,A05,0,A00,A0,A0,E0,0,0,2018,2,,2160684,1
Q,U,S,24,A,00,A05,0,A00,A0,A0,E0,0,0,2018,3,,2220264,1
Q,U,S,24,A,00,A05,0,A00,A0,A0,E0,0,0,2018,4,,2194168,1
Q,U,S,24,A,00,A05,0,A00,A0,A0,E0,0,0,2019,1,,2181275,1
Q,U,S,24,A,00,A05,0,A00,A0,A0,E0,0,0,2019,2,,2179109,1
Q,U,S,24,A,00,A05,0,A00,A0,A0,E0,0,0,2019,3,,2241066,1
Q,U,S,24,A,00,A05,0,A00,A0,A0,E0,0,0,2019,4,,2216787,1
Q,U,S,24,A,00,A05,0,A00,A0,A0,E0,0,0,2020,1,,2201835,1
Q,U,S,24,A,00,A05,0,A00,A0,A0,E0,0,0,2020,2,,2044192,1
Q,U,S,24,A,00,A05,0,A00,A0,A0,E0,0,0,2020,3,,1989816,1
Q,U,S,24,A,00,A05,0,A00,A0,A0,E0,0,0,2020,4,,2034959,1
Q,U,S,24,A,00,A05,0,A00,A0,A0,E0,0,0,2021,1,,2048002,1
Q,U,S,24,A,00,A05,0,A00,A0,A0,E0,0,0,2021,2,,2066480,1
Q,U,S,24,A,00,A05,0,A00,A0,A0,E0,0,0,2021,3,,2131160,1
Q,U,S,24,A,00,A05,0,A00,A0,A0,E0,0,0,2021,4,,2123104,1
Q,U,S,24,A,00,A05,0,A00,A0,A0,E0,0,0,2022,1,,2101941,1
Q,U,S,24,A,00,A05,0,A00,A0,A0,E0,0,0,2022,2,,2113033,1
Q,U,S,24,A,00,A05,0,A00,A0,A0,E0,0,0,2022,3,,2183806,1
Q,U,S,24,A,00,A05,0,A00,A0,A0,E0,0,0,2022,4,,2209166,1
Q,U,S,24,A,00,A05,0,A00,A0,A0,E0,0,0,2023,1,,2172136,1
Q,U,S,24,A,00,A05,0,A00,A0,A0,E0,0,0,2023,2,,2172150,1
Q,U,S,24,A,00,A05,0,A00,A0,A0,E0,0,0,2023,3,,2230767,1
Q,U,S,24,A,00,A05,0,A00,A0,A0,E0,0,0,2023,4,,2212414,1
Q,U,S,24,A,00,A05,0,A00,A0,A0,E0,0,0,2024,1,,2199619,1
Q,U,S,24,A,00,A05,0,A00,A0,A0,E0,0,0,2024,2,,2195880,1
Q,U,S,24,A,00,A05,0,A00,A0,A0,E0,0,0,2024,3,,2258031,1
Q,U,S,24,A,00,A05,0,A00,A0,A0,E0,0,0,2024,4,,2256296,1
