"Teams","Week 1","Week 2","Week 3","Week 4","Week 5","Week 6","Week 7","Week 8","Week 9","Week 10","Week 11","Week 12","Week 13","Week 14","Total_Viewership","Average_Per_Week"
"Alabama",10660000,NA,4510000,NA,10420000,6410000,6990000,8010000,7840000,NA,7540000,10480000,NA,11300000,84160000,8416000
"Georgia",1670000,NA,12580000,NA,10420000,3680000,6690000,9790000,NA,7790000,2320000,10430000,NA,8700000,74070000,7407000
"Ohio State",16620000,NA,NA,NA,5230000,3700000,5280000,4030000,NA,7190000,1850000,3760000,4060000,18400000,70120000,7012000
"Texas",16620000,3750000,NA,NA,NA,3980000,8730000,2640000,NA,4510000,NA,10430000,5610000,1.3e+07,69270000,7696666.66666667
"Oklahoma",NA,9670000,787000,6120000,NA,NA,8730000,NA,6550000,4810000,NA,10480000,5370000,6400000,58917000,6546333.33333333
"LSU",10450000,NA,7640000,NA,6690000,NA,NA,5940000,6760000,NA,7540000,NA,NA,6400000,51420000,7345714.28571429
"Michigan",NA,9670000,NA,5300000,NA,4630000,NA,4320000,3630000,1610000,NA,3760000,NA,18400000,51320000,6415000
"Texas A&M",1070000,NA,6200000,NA,2470000,NA,2620000,1570000,6760000,NA,4870000,4280000,NA,1.3e+07,42840000,4760000
"Ole Miss",NA,4780000,1440000,1050000,6690000,NA,NA,9790000,6550000,1320000,NA,2500000,NA,5200000,39320000,4368888.88888889
"Notre Dame",10800000,NA,6200000,NA,4260000,NA,NA,4640000,NA,1730000,3400000,3960000,1890000,NA,36880000,4610000
"Tennessee",2590000,NA,12580000,NA,NA,NA,NA,8010000,NA,4810000,NA,NA,4760000,4e+06,36750000,6125000
"Florida",NA,NA,7640000,6460000,NA,3980000,2620000,NA,NA,7790000,NA,2500000,4760000,NA,35750000,5107142.85714286
"Oregon",NA,2320000,NA,NA,8500000,NA,5590000,530000,1170000,NA,5370000,2330000,5430000,4300000,35540000,3948888.88888889
"Miami",10800000,NA,720000,6460000,NA,6030000,NA,3410000,1210000,1500000,1200000,1380000,1940000,NA,34650000,3465000
"Penn State",2240000,NA,NA,NA,8500000,3130000,NA,NA,NA,7190000,6030000,2480000,3100000,NA,32670000,4667142.85714286
"Auburn",NA,158000,NA,6120000,2470000,NA,6690000,NA,NA,NA,NA,NA,NA,11300000,26738000,5347600
"Florida State",10660000,NA,NA,NA,4390000,6030000,2050000,1420000,NA,NA,NA,NA,2130000,NA,26680000,4446666.66666667
"Vanderbilt",NA,NA,NA,52000,NA,6410000,NA,5940000,3070000,4510000,NA,NA,1140000,4e+06,25122000,3588857.14285714
"Georgia Tech",3740000,NA,4760000,NA,1850000,NA,NA,1710000,1270000,604000,NA,NA,2030000,8700000,24664000,3083000
"Nebraska",3330000,NA,NA,5300000,NA,1500000,NA,2660000,NA,2200000,2250000,NA,3100000,3800000,24140000,3017500
"Missouri",NA,1830000,NA,1850000,102000,NA,6990000,NA,3070000,NA,4870000,NA,5370000,NA,24082000,3440285.71428571
"Clemson",10450000,NA,4760000,3390000,NA,1870000,NA,NA,NA,NA,NA,2560000,NA,NA,23030000,4606000
"Indiana",NA,NA,NA,2700000,NA,NA,5590000,NA,3020000,2890000,6030000,NA,NA,2690000,22920000,3820000
"USC",NA,NA,NA,NA,4120000,NA,NA,4640000,NA,2200000,1910000,1440000,5430000,2200000,21940000,3134285.71428571
"South Carolina",5430000,NA,NA,1850000,NA,NA,NA,NA,7840000,1320000,NA,4280000,NA,NA,20720000,4144000
"Colorado",3740000,2690000,2940000,1340000,2460000,2140000,1440000,NA,1290000,374000,NA,NA,1110000,NA,19524000,1952400
"Iowa",NA,4280000,NA,3010000,NA,NA,NA,NA,1600000,NA,5370000,1440000,NA,3800000,19500000,3250000
"BYU",NA,1210000,NA,623000,2460000,1410000,868000,1970000,2570000,NA,3980000,1560000,2600000,NA,19251000,1925100
"Wisconsin",NA,NA,4510000,2e+06,NA,4630000,NA,4030000,1170000,NA,1090000,NA,979000,NA,18409000,2629857.14285714
"Iowa State",4470000,4280000,150000,NA,1150000,1110000,1440000,NA,2570000,NA,2420000,NA,NA,NA,17590000,2198750
"Washington",NA,NA,NA,1650000,5230000,NA,NA,4320000,NA,NA,1090000,457000,NA,4300000,17047000,2841166.66666667
"Texas Tech",NA,NA,NA,4040000,NA,1450000,NA,2560000,110000,3130000,3980000,1400000,NA,NA,16670000,2381428.57142857
"UCLA",NA,NA,NA,NA,NA,3130000,NA,410000,3020000,NA,2250000,3600000,1620000,2200000,16230000,2318571.42857143
"TCU",6070000,NA,NA,662000,NA,2140000,NA,423000,NA,NA,2420000,1560000,NA,2740000,16015000,2287857.14285714
"Illinois",NA,2180000,NA,2700000,4120000,NA,5280000,NA,NA,NA,NA,NA,979000,NA,15259000,3051800
"Arkansas",NA,NA,1440000,2110000,4260000,NA,NA,1570000,NA,NA,NA,NA,5610000,NA,14990000,2998000
"Kentucky",NA,4780000,111000,NA,NA,3680000,NA,2640000,NA,NA,NA,NA,1140000,NA,12351000,2470200
"North Carolina",6070000,NA,NA,NA,NA,1870000,NA,1580000,NA,983000,514000,402000,NA,NA,11419000,1903166.66666667
"Cincinnati",3330000,NA,NA,NA,NA,1110000,NA,316000,453000,819000,NA,NA,2600000,2740000,11368000,1624000
"Syracuse",2590000,NA,NA,3390000,NA,NA,NA,NA,1270000,983000,1200000,NA,1890000,NA,11323000,1887166.66666667
"Minnesota",NA,NA,958000,NA,NA,3700000,NA,2660000,1600000,NA,NA,2330000,NA,NA,11248000,2249600
"Utah",NA,NA,NA,4040000,NA,NA,1270000,1970000,1290000,819000,NA,415000,955000,NA,10759000,1537000
"Pittsburgh",NA,125000,1890000,NA,580000,NA,2050000,NA,NA,NA,NA,3960000,2030000,NA,10635000,1772500
"Kansas State",4470000,873000,NA,NA,NA,NA,NA,NA,NA,3130000,NA,133000,955000,NA,9561000,1912200
"Virginia Tech",5430000,NA,NA,NA,NA,463000,NA,NA,1110000,593000,NA,NA,1940000,NA,9536000,1907200
"Louisville",NA,893000,NA,NA,580000,603000,NA,3410000,NA,593000,450000,2560000,357000,NA,9446000,1180750
"Mississippi State",771000,943000,NA,NA,NA,NA,NA,NA,NA,NA,2320000,NA,NA,5200000,9234000,2308500
"Virginia",NA,659000,NA,NA,4390000,603000,NA,594000,NA,326000,734000,443000,NA,NA,7749000,1107000
"Michigan State",NA,NA,NA,NA,NA,1500000,NA,NA,3630000,NA,NA,2480000,NA,NA,7610000,2536666.66666667
"Rutgers",NA,NA,NA,3010000,NA,NA,NA,530000,NA,NA,NA,NA,4060000,NA,7600000,2533333.33333333
"Houston",NA,NA,2940000,NA,1550000,1450000,NA,NA,402000,NA,652000,NA,NA,NA,6994000,1398800
"NC State",NA,659000,1180000,663000,NA,NA,NA,NA,NA,604000,NA,1380000,2130000,NA,6616000,1102666.66666667
"Purdue",NA,NA,NA,NA,NA,NA,NA,NA,NA,1610000,1850000,457000,NA,2690000,6607000,1651750
"Arizona State",NA,953000,NA,NA,NA,NA,1270000,2560000,402000,NA,NA,NA,1110000,NA,6295000,1259000
"Duke",NA,2180000,150000,663000,NA,1e+06,NA,1710000,NA,NA,NA,443000,NA,NA,6146000,1024333.33333333
"California",565000,NA,958000,NA,NA,1e+06,NA,1580000,1110000,326000,450000,NA,NA,NA,5989000,855571.428571429
"Northwestern",75000,NA,NA,NA,NA,NA,NA,NA,NA,NA,1910000,3760000,NA,NA,5745000,1915000
"Maryland",NA,NA,NA,2e+06,NA,NA,NA,410000,NA,2890000,NA,NA,NA,NA,5300000,1766666.66666667
"Wake Forest",NA,NA,1180000,NA,1850000,463000,257000,NA,285000,NA,734000,402000,NA,NA,5171000,738714.285714286
"Oklahoma State",NA,2320000,NA,1570000,396000,NA,NA,316000,110000,NA,NA,133000,NA,NA,4845000,807500
"Stanford",NA,1210000,NA,NA,NA,NA,249000,1420000,1210000,NA,514000,NA,NA,NA,4603000,920600
"SMU",NA,1130000,NA,662000,NA,NA,249000,NA,285000,1500000,NA,NA,357000,NA,4183000,697166.666666667
"West Virginia",NA,234000,1890000,NA,NA,1410000,NA,NA,NA,NA,NA,NA,NA,NA,3534000,1178000
"Kansas",NA,1830000,NA,NA,NA,583000,NA,NA,NA,NA,480000,NA,NA,NA,2893000,964333.333333333
"Baylor",NA,1130000,NA,NA,396000,NA,NA,423000,453000,58000,NA,415000,NA,NA,2875000,479166.666666667
"Arizona",NA,NA,NA,NA,1150000,NA,868000,NA,NA,374000,480000,NA,NA,NA,2872000,718000
"UCF",NA,NA,NA,NA,NA,583000,NA,NA,NA,58000,652000,1400000,NA,NA,2693000,673250
"Boston College",NA,NA,NA,NA,NA,NA,NA,NA,NA,1730000,NA,NA,NA,NA,1730000,1730000
"Washignton",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1620000,NA,1620000,1620000
